Date,Time,Booking_ID,Booking_Status,Customer_ID,Vehicle_Type,Pickup_Location,Drop_Location,V_TAT,C_TAT,Canceled_Rides_by_Customer,Canceled_Rides_by_Driver,Incomplete_Rides,Incomplete_Rides_Reason,Booking_Value,Payment_Method,Ride_Distance,Driver_Ratings,Customer_Rating,"Vehicle Images"
"2024-07-25 22:20:00",22:20:00,CNR2940424040,Success,CID225428,Bike,"Magadi Road",Varthur,203,30,NULL,NULL,No,NULL,158,Cash,13,4.1,4,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
"2024-07-30 19:59:00",19:59:00,CNR2982357879,Success,CID270156,"Prime SUV","Sahakar Nagar",Varthur,238,130,NULL,NULL,No,NULL,386,UPI,40,4.2,4.8,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-02 9:02:00",9:02:00,CNR1797421769,Success,CID939555,Mini,Rajajinagar,Chamarajpet,252,80,NULL,NULL,No,NULL,822,"Credit Card",45,4,3,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-13 4:42:00",4:42:00,CNR8787177882,Success,CID802429,Mini,Kadugodi,Vijayanagar,231,90,NULL,NULL,No,NULL,173,UPI,41,3.4,4.6,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-23 9:51:00",9:51:00,CNR3612067560,Success,CID476071,Bike,"Tumkur Road",Whitefield,133,40,NULL,NULL,No,NULL,140,Cash,49,3.2,4.5,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
"2024-07-29 23:33:00",23:33:00,CNR4787583516,Success,CID923404,"Prime Plus","Hosur Road",Jayanagar,35,55,NULL,NULL,No,NULL,164,Cash,46,4.5,3.4,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
"2024-07-26 4:03:00",4:03:00,CNR7943634301,Success,CID647026,"Prime Plus",Kammanahalli,Rajajinagar,238,95,NULL,NULL,No,NULL,399,Cash,18,3.9,4.4,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
"2024-07-27 13:18:00",13:18:00,CNR4524472111,Success,CID540929,Auto,"Cox Town",Yelahanka,126,35,NULL,NULL,No,NULL,330,UPI,8,3,4.8,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-16 9:54:00",9:54:00,CNR8181602032,Success,CID167642,Bike,Indiranagar,"MG Road",70,95,NULL,NULL,No,NULL,378,UPI,18,4.8,4.1,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
"2024-07-02 10:25:00",10:25:00,CNR8090918544,Success,CID640151,Bike,"Magadi Road","HSR Layout",126,95,NULL,NULL,No,NULL,343,UPI,23,3.7,3.6,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
"2024-07-05 23:42:00",23:42:00,CNR3196156650,Success,CID243275,Bike,"Electronic City","Langford Town",140,40,NULL,NULL,No,NULL,401,Cash,8,3.3,3.9,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
"2024-07-09 11:11:00",11:11:00,CNR9975925287,Success,CID162055,"Prime SUV","Magadi Road","RT Nagar",42,30,NULL,NULL,No,NULL,343,UPI,17,3,3.8,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-12 14:44:00",14:44:00,CNR1591113431,Success,CID902781,eBike,Koramangala,"Sarjapur Road",245,70,NULL,NULL,No,NULL,2014,Cash,33,4.2,4.9,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
"2024-07-11 20:42:00",20:42:00,CNR3650331573,Success,CID217093,eBike,Basavanagudi,Hulimavu,84,25,NULL,NULL,No,NULL,650,Cash,34,4.9,3.4,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
"2024-07-08 22:33:00",22:33:00,CNR6013805089,Success,CID817034,"Prime Sedan",Padmanabhanagar,Jayanagar,168,65,NULL,NULL,No,NULL,231,Cash,2,3.2,3.7,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
"2024-07-03 18:20:00",18:20:00,CNR9832070187,Success,CID655872,Bike,Koramangala,"BTM Layout",231,145,NULL,NULL,No,NULL,189,Cash,6,4.9,3.3,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
"2024-07-03 21:17:00",21:17:00,CNR5620539253,Success,CID290480,"Prime Plus","Mysore Road","Sahakar Nagar",56,105,NULL,NULL,No,NULL,311,Cash,28,4.3,3,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
"2024-07-19 21:18:00",21:18:00,CNR4443921904,Success,CID654618,Mini,"Tumkur Road",Koramangala,231,50,NULL,NULL,No,NULL,286,UPI,44,4,3.3,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-25 3:44:00",3:44:00,CNR7194303296,Success,CID538245,Mini,"Mysore Road",Hennur,175,50,NULL,NULL,No,NULL,141,UPI,35,4.7,3.1,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-15 17:11:00",17:11:00,CNR6494005067,Success,CID805360,Auto,Yelahanka,Malleshwaram,84,60,NULL,NULL,No,NULL,214,UPI,2,3.3,4.5,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-30 19:44:00",19:44:00,CNR6805579107,Success,CID810214,"Prime SUV",Indiranagar,Indiranagar,35,145,NULL,NULL,No,NULL,2183,Cash,20,4,4.4,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-27 6:18:00",6:18:00,CNR7979458138,Success,CID978509,eBike,"Frazer Town",Indiranagar,189,65,NULL,NULL,No,NULL,1095,Cash,38,4.8,4.7,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
"2024-07-23 12:56:00",12:56:00,CNR9820692957,Success,CID625327,"Prime Sedan",Koramangala,"Hosur Road",49,85,NULL,NULL,No,NULL,241,Cash,33,3.2,3.5,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
"2024-07-08 11:52:00",11:52:00,CNR4094067439,Success,CID896062,"Prime Sedan",Majestic,Jayanagar,77,140,NULL,NULL,No,NULL,475,Cash,45,4.3,3.1,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
"2024-07-14 5:25:00",5:25:00,CNR7142279862,Success,CID378034,eBike,Yeshwanthpur,"JP Nagar",210,45,NULL,NULL,No,NULL,461,UPI,49,4.5,3.1,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
"2024-07-03 0:58:00",0:58:00,CNR5176704322,Success,CID296026,"Prime Plus","KR Puram",Hennur,287,40,NULL,NULL,Yes,"Customer Demand",1102,UPI,41,3.1,3.5,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
"2024-07-10 21:56:00",21:56:00,CNR7547352327,Success,CID976231,"Prime Plus",Hulimavu,"Rajarajeshwari Nagar",210,105,NULL,NULL,No,NULL,444,UPI,6,3.8,4.9,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
"2024-07-11 3:22:00",3:22:00,CNR4251304471,Success,CID888740,"Prime SUV",Shivajinagar,Jayanagar,294,145,NULL,NULL,No,NULL,876,Cash,21,4.7,3.3,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-06 15:02:00",15:02:00,CNR1568684278,Success,CID709612,"Prime Plus","Bannerghatta Road",Majestic,42,90,NULL,NULL,No,NULL,680,UPI,24,4.7,3.8,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
"2024-07-05 20:28:00",20:28:00,CNR2230045814,Success,CID961125,"Prime SUV","Cox Town",Chamarajpet,266,65,NULL,NULL,No,NULL,425,Cash,11,3.5,4.6,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-11 11:28:00",11:28:00,CNR7871058089,Success,CID221021,Mini,Hennur,Kengeri,56,140,NULL,NULL,No,NULL,989,Cash,4,4.5,4.2,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-12 18:02:00",18:02:00,CNR2708187615,Success,CID415325,"Prime Plus",Devanahalli,Rajajinagar,294,95,NULL,NULL,No,NULL,443,Cash,5,3.4,3.1,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
"2024-07-16 22:35:00",22:35:00,CNR1625119636,Success,CID745270,eBike,"Ramamurthy Nagar","Sahakar Nagar",35,95,NULL,NULL,No,NULL,721,Cash,19,3.8,4.7,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
"2024-07-26 13:20:00",13:20:00,CNR9312632867,Success,CID649563,"Prime SUV","Tumkur Road","Mysore Road",217,120,NULL,NULL,Yes,"Vehicle Breakdown",2936,Cash,34,4.1,4.6,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-25 3:33:00",3:33:00,CNR5274603340,Success,CID477783,"Prime SUV","Electronic City",Banashankari,77,35,NULL,NULL,No,NULL,747,Cash,25,5,3.5,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-17 3:30:00",3:30:00,CNR1050003752,Success,CID993137,Bike,Chamarajpet,Shivajinagar,308,110,NULL,NULL,No,NULL,799,UPI,25,3.9,4.7,https://cdn-icons-png.flaticon.com/128/9983/9983173.png
"2024-07-07 5:59:00",5:59:00,CNR3603517873,Success,CID386651,eBike,"Rajarajeshwari Nagar",Marathahalli,63,135,NULL,NULL,No,NULL,300,Cash,14,3.3,4.6,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
"2024-07-01 2:45:00",2:45:00,CNR9758857830,Success,CID528642,"Prime Plus","HSR Layout","Magadi Road",308,70,NULL,NULL,No,NULL,618,UPI,30,3.5,3.7,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
"2024-07-02 4:17:00",4:17:00,CNR8080410192,Success,CID416746,eBike,Jayanagar,"JP Nagar",91,120,NULL,NULL,No,NULL,251,UPI,9,5,4.4,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
"2024-07-25 10:57:00",10:57:00,CNR2433490646,Success,CID954071,Mini,Hennur,Chamarajpet,35,115,NULL,NULL,No,NULL,724,Cash,11,4.5,4.8,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-18 0:37:00",0:37:00,CNR7825941026,Success,CID234007,Mini,Marathahalli,"Langford Town",196,80,NULL,NULL,No,NULL,316,UPI,27,3.1,4.7,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-22 13:08:00",13:08:00,CNR9148580255,Success,CID164393,"Prime SUV","Tumkur Road","Magadi Road",224,60,NULL,NULL,No,NULL,138,UPI,24,5,3,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
"2024-07-15 7:21:00",7:21:00,CNR2946309760,Success,CID984343,"Prime Plus","Hosur Road",Hennur,280,55,NULL,NULL,No,NULL,467,Cash,24,4.5,4.2,https://cdn-icons-png.flaticon.com/128/11409/11409716.png
"2024-07-06 1:18:00",1:18:00,CNR7486448495,Success,CID931462,Auto,Ulsoor,Padmanabhanagar,63,65,NULL,NULL,No,NULL,296,UPI,5,4,4.3,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-01 2:55:00",2:55:00,CNR5758479139,Success,CID805528,"Prime Sedan","RT Nagar",Chickpet,42,25,NULL,NULL,No,NULL,279,Cash,43,4.3,3.4,https://cdn-icons-png.flaticon.com/128/14183/14183770.png
"2024-07-22 16:24:00",16:24:00,CNR8021985469,Success,CID604351,Mini,"Hosur Road",Kadugodi,308,145,NULL,NULL,No,NULL,321,Cash,39,3.3,4.7,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-21 19:56:00",19:56:00,CNR3800597072,Success,CID386103,Mini,"JP Nagar",Chickpet,189,35,NULL,NULL,No,NULL,457,Cash,1,4.1,3.4,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-05 13:55:00",13:55:00,CNR6179425512,Success,CID607886,Mini,"Bannerghatta Road",Basavanagudi,217,45,NULL,NULL,No,NULL,139,Cash,45,4.9,3.8,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-29 19:40:00",19:40:00,CNR7924302885,Success,CID517661,Auto,"Magadi Road",Nagarbhavi,168,140,NULL,NULL,Yes,"Customer Demand",685,UPI,7,4.1,4.9,https://cdn-icons-png.flaticon.com/128/16526/16526595.png
"2024-07-16 13:15:00",13:15:00,CNR2830899440,Success,CID808607,Mini,Kadugodi,"Frazer Town",133,90,NULL,NULL,No,NULL,196,UPI,21,4.3,3.4,https://cdn-icons-png.flaticon.com/128/3202/3202926.png
"2024-07-14 4:15:00",4:15:00,CNR8854206454,Success,CID932765,eBike,"Langford Town",Kadugodi,301,115,NULL,NULL,No,NULL,770,Cash,27,3.3,4.3,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
"2024-07-04 14:43:00",14:43:00,CNR6215530366,Success,CID713821,eBike,Devanahalli,Jayanagar,161,25,NULL,NULL,No,NULL,986,Cash,18,4.6,4.8,https://cdn-icons-png.flaticon.com/128/6839/6839867.png
"2024-07-29 14:56:00",14:56:00,CNR4314026109,Success,CID259573,"Prime SUV","Tumkur Road","Bannerghatta Road",266,115,NULL,NULL,No,NULL,2208,Cash,40,4,4.5,https://cdn-icons-png.flaticon.com/128/9983/9983204.png
